Wine Label;Winery;Variety;Area;Vineyard;Vintage;wine code;replicate;;;;;;;;;;;;
Sauvignon blanc;Alpha Estate;Sauvignon blanc;Florina;florina;2020;38;a;;;;;;;;;;;;
Sauvignon blanc;Alpha Estate;Sauvignon blanc;Florina;florina;2020;38;b;;;;;;;;;;;;
Sauvignon blanc;Alpha Estate;Sauvignon blanc;Florina;florina;2020;38;c;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;39;a;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;39;b;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;39;c;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;40;a;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;40;b;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;40;c;;;;;;;;;;;;
Sauvignon blanc;Elassona Winery;Sauvignon blanc;Elassona;Elassona;2022;41;a;;;;;;;;;;;;
Sauvignon blanc;Elassona Winery;Sauvignon blanc;Elassona;Elassona;2022;41;b;;;;;;;;;;;;
Sauvignon blanc;Elassona Winery;Sauvignon blanc;Elassona;Elassona;2022;41;c;;;;;;;;;;;;
Syrah;Alpha Estate;Syrah;Florina;;2021;42;a;;;;;;;;;;;;
Syrah;Alpha Estate;Syrah;Florina;;2021;42;b;;;;;;;;;;;;
Syrah;Alpha Estate;Syrah;Florina;;2021;42;c;;;;;;;;;;;;
Assyrtiko;Michalakis winery;Assyrtiko;Crete;Krhth;2022;43;a;;;;;;;;;;;;
Assyrtiko;Michalakis winery;Assyrtiko;Crete;Krhth;2022;43;b;;;;;;;;;;;;
Assyrtiko;Michalakis winery;Assyrtiko;Crete;Krhth;2022;43;c;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina-Hedgehog;Hedgehog;2020;44;a;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina- Hedgehog;Hedgehog;2020;44;b;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina- Hedgehog;Hedgehog;2020;44;c;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina-Hedgehog;Hedgehog;2020;45;a;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina- Hedgehog;Hedgehog;2020;45;b;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina- Hedgehog;Hedgehog;2020;45;c;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina-Hedgehog;Skatzoxiros;2021;46;a;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina- Hedgehog;Skatzoxiros;2021;46;b;;;;;;;;;;;;
Xinomavro;Alpha Estate;Xinomavro;Florina- Hedgehog;Skatzoxiros;2021;46;c;;;;;;;;;;;;
Malvasia;Tsimpidi Winery;Liastos glykos;Monemvasia;Monemvasia;2012;47;a;;;;;;;;;;;;
Malvasia;Tsimpidi Winery;Liastos glykos;Monemvasia;Monemvasia;2012;47;b;;;;;;;;;;;;
Malvasia;Tsimpidi Winery;Liastos glykos;Monemvasia;Monemvasia;2012;47;c;;;;;;;;;;;;
Syrah 2023;Agatsa Winery;Syrah;Thiva;Thiva;2023;48;a;;;;;;;;;;;;
Syrah 2023;Agatsa Winery;Syrah;Thiva;Thiva;2023;48;b;;;;;;;;;;;;
Syrah 2023;Agatsa Winery;Syrah;Thiva;Thiva;2023;48;c;;;;;;;;;;;;
Karydi;Agatsa Winery;Assyrtiko;Thiva;Thiva;2022;49;a;;;;;;;;;;;;
Karydi;Agatsa Winery;Assyrtiko;Thiva;Thiva;2022;49;b;;;;;;;;;;;;
Karydi;Agatsa Winery;Assyrtiko;Thiva;Thiva;2022;49;c;;;;;;;;;;;;
Seven skies;Agatsa Winery;Sauvignon blanc;Thiva;Thiva;2022;50;a;;;;;;;;;;;;
Seven skies;Agatsa Winery;Sauvignon blanc;Thiva;Thiva;2022;50;b;;;;;;;;;;;;
Seven skies;Agatsa Winery;Sauvignon blanc;Thiva;Thiva;2022;50;c;;;;;;;;;;;;
IANTHI MENEXE;Agatsa Winery;Syrah;Thiva;Thiva;2020;51;a;;;;;;;;;;;;
IANTHI MENEXE;Agatsa Winery;Syrah;Thiva;Thiva;2020;51;b;;;;;;;;;;;;
IANTHI MENEXE;Agatsa Winery;Syrah;Thiva;Thiva;2020;51;c;;;;;;;;;;;;
Sauvignon blanc-17;Muses Estate;Sauvignon blanc;Fthoiotida;Fthoiotida;2023;52;a;;;;;;;;;;;;
Sauvignon blanc-17;Muses Estate;Sauvignon blanc;Fthoiotida;Fthoiotida;2023;52;b;;;;;;;;;;;;
Sauvignon blanc-17;Muses Estate;Sauvignon blanc;Fthoiotida;Fthoiotida;2023;52;c;;;;;;;;;;;;
A MUSE ROSE;Muses Estate;Mouxtaro , Sauvignon Blanc;Fthoiotida;Fthoiotida;2022;53;a;;;;;;;;;;;;
A MUSE ROSE;Muses Estate;Mouxtaro , Sauvignon Blanc;Fthoiotida;Fthoiotida;2022;53;b;;;;;;;;;;;;
A MUSE ROSE;Muses Estate;Mouxtaro , Sauvignon Blanc;Fthoiotida;Fthoiotida;2022;53;c;;;;;;;;;;;;
Crispy Asyrtiko;Muses Estate;Assyrtiko;Fthoiotida;Fthoiotida;2022;54;a;;;;;;;;;;;;
Crispy Asyrtiko;Muses Estate;Assyrtiko;Fthoiotida;Fthoiotida;2022;54;b;;;;;;;;;;;;
Crispy Asyrtiko;Muses Estate;Assyrtiko;Fthoiotida;Fthoiotida;2022;54;c;;;;;;;;;;;;
Laoudia 2021;Tselepos Winery;Assyrtiko;Santorini;Santorini;2021;55;a;;;;;;;;;;;;
Laoudia 2021;Tselepos Winery;Assyrtiko;Santorini;Santorini;2021;55;b;;;;;;;;;;;;
Laoudia 2021;Tselepos Winery;Assyrtiko;Santorini;Santorini;2021;55;c;;;;;;;;;;;;
